Index,key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
24238194,52:06.0,7.5,2015-05-07 19:52:06 UTC,-73.99981689,40.73835373,-73.99951172,40.72321701,1
27835199,04:56.0,7.7,2009-07-17 20:04:56 UTC,-73.994355,40.728225,-73.99471,40.750325,1
44984355,45:00.0,12.9,2009-08-24 21:45:00 UTC,-74.005043,40.74077,-73.962565,40.772647,1
25894730,22:21.0,5.3,2009-06-26 08:22:21 UTC,-73.976124,40.790844,-73.965316,40.803349,3
17610152,47:00.0,16,2014-08-28 17:47:00 UTC,-73.925023,40.744085,-73.973082,40.761247,5
44470845,27:09.0,4.9,2011-02-12 02:27:09 UTC,-73.969019,40.75591,-73.969019,40.75591,1
48725865,04:00.0,24.5,2014-10-12 07:04:00 UTC,-73.961447,40.693965,-73.871195,40.774297,5
44195482,52:00.0,2.5,2012-12-11 13:52:00 UTC,0,0,0,0,1
15822268,32:00.0,9.7,2012-02-17 09:32:00 UTC,-73.975187,40.745767,-74.00272,40.743537,1
50611056,06:00.0,12.5,2012-03-29 19:06:00 UTC,-74.001065,40.741787,-73.96304,40.775012,1
2205147,32:27.0,6.5,2015-05-22 17:32:27 UTC,-73.97438812,40.74695206,-73.98858643,40.72980499,1
6379048,15:00.0,8.5,2011-05-23 22:15:00 UTC,0,0,0,0,1
31892535,03:00.0,3.3,2011-05-17 14:03:00 UTC,-73.966378,40.80444,-73.96589,40.807133,5
13012786,19:00.0,10.9,2011-06-25 11:19:00 UTC,-73.953352,40.767382,-73.97251,40.796137,1
48411337,20:27.0,6.9,2010-04-06 22:20:27 UTC,-73.97337,40.755193,-73.978265,40.766375,1
46272151,33:00.0,9.7,2012-02-21 09:33:00 UTC,-73.990718,40.75192,-73.973053,40.74423,2
11875730,21:40.0,4.9,2011-09-01 09:21:40 UTC,-73.988908,40.756982,-73.981246,40.76005,1
1728270,58:27.0,10.5,2011-03-19 23:58:27 UTC,-74.005665,40.741138,-73.97783,40.749338,2
49173512,58:35.0,12,2015-03-25 08:58:35 UTC,-73.96253204,40.76718903,-73.97445679,40.75386047,1
33157445,20:00.0,4.9,2009-08-08 00:20:00 UTC,-73.992075,40.719633,-73.985323,40.727405,1
55085966,26:00.0,10.5,2014-02-18 14:26:00 UTC,-73.980022,40.74599,-74.003432,40.759667,1
